gene_id,gene_short_name,cluster,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value
ENSG00000150991,UBC,B,0.16754559888007875,9.541916968247902,0.9771428571428571,0.1714647941755192,0.1242115767389965,2.1072376728971955e-59,7.739905044928128e-54
ENSG00000102445,RUBCNL,B,0.2943324727974275,1.0481343005641808,0.6468571428571429,0.4550192821515001,0.31179918750674057,6.678072354923725e-149,2.452862654035839e-143
ENSG00000100906,NFKBIA,B,0.14866448848861527,3.4721884255724493,0.9142857142857143,0.16260178428442296,0.10949565163255835,1.6556318598359919e-52,6.081152377496196e-47
ENSG00000185650,ZFP36L1,B,0.1536659423896734,2.7512936799750007,0.8594285714285714,0.17880013243479287,0.08766292022979137,2.6340107923420615e-42,9.674747980380316e-37
ENSG00000211898,IGHD,B,0.20679925279350947,0.3210267117082468,0.24914285714285714,0.8300428724510128,0.13967940911527355,1.1437663275315772e-66,4.201065158686758e-61
ENSG00000211899,IGHM,B,0.38997946392921795,1.757314922083438,0.6777142857142857,0.5754334417168055,0.37893798489830527,1.0086774472876414e-181,3.704882350661979e-176
ENSG00000104064,GABPB1,B,0.1398313574376709,0.519341870242994,0.424,0.32979093735299736,0.1392636082568748,1.7942743255454227e-66,6.590387540471593e-61
ENSG00000247982,LINC00926,B,0.5943536134696582,1.2173233773480052,0.6617142857142857,0.8982027837408479,0.46717954109019566,1.5515283634112142e-225,5.698779194093024e-220
ENSG00000177455,CD19,B,0.21077974690536772,0.2666129170508653,0.26171428571428573,0.805381129005226,0.14746666765958283,2.474114449968025e-70,9.087447115877056e-65
ENSG00000051108,HERPUD1,B,0.17526790812363,1.8977408413584114,0.7268571428571429,0.2411311629059375,0.15608538748731463,2.1451156431895083e-74,7.879031208591496e-69
ENSG00000131143,COX4I1,B,0.15633620892923505,4.9854053084485415,0.9577142857142857,0.16323888163852107,0.10204522943381196,5.057224433142219e-49,1.8575235915175702e-43
ENSG00000132507,EIF5A,B,0.17158697738215622,2.162297149614672,0.8662857142857143,0.19807203853481092,0.1521666759709434,1.510352390534208e-72,5.5475394339560515e-67
ENSG00000076604,TRAF4,B,0.1431117371776857,1.1299667702138296,0.624,0.22934573265654756,0.18189967137165003,1.3435728798965993e-86,4.934956623589008e-81
ENSG00000173812,EIF1,B,0.14780809763098637,12.952734421352073,0.9885714285714285,0.14951686176544865,0.08489571447962488,5.145486567249374e-41,1.8899423616372622e-35
ENSG00000132475,H3F3B,B,0.14446281662714283,10.880800663583925,0.9897142857142858,0.14596416229647802,0.051394158953710294,2.0372460865344492e-25,7.482825248301897e-20
ENSG00000108639,SYNGR2,B,0.3294785380782345,2.592383684504112,0.8651428571428571,0.38083714771262245,0.39630801311247665,2.7596542700641477e-190,1.0136237730488314e-184
ENSG00000171791,BCL2,B,0.1700925342853335,0.46007931030064636,0.384,0.44294930803472266,0.14889188433827327,5.273993615537593e-71,1.9371431289805733e-65
ENSG00000101017,CD40,B,0.17886445304438703,0.38253955226610076,0.32,0.5589514157637094,0.15577282458952096,3.012082940796711e-74,1.1063410762375728e-68
ENSG00000177410,ZFAS1,B,0.14179165497945662,1.3568739139862456,0.7497142857142857,0.18912758857778134,0.07839078475559494,5.546217686791987e-38,2.0371313025763836e-32
ENSG00000167658,EEF2,B,0.18982367698434466,5.448823346943433,0.9497142857142857,0.19987450946005003,0.17684727684555937,3.319830975962768e-84,1.2193772373021006e-78
ENSG00000104921,FCER2,B,0.2820421889402534,0.46156994407575513,0.3588571428571429,0.7859455901997506,0.20980816132997698,7.426435602023794e-100,2.7277372230589415e-94
ENSG00000171223,JUNB,B,0.16152509075460694,4.160114900489732,0.8937142857142857,0.1807345964325845,0.09542711178242053,6.256544516653703e-46,2.298035057511422e-40
ENSG00000221983,UBA52,B,0.13718129589610517,4.714598710266759,0.936,0.14656121356421492,0.07169016943074141,7.335141828089125e-35,2.6942049285989635e-29
ENSG00000012124,CD22,B,0.19077877859855388,0.3198851858151388,0.2857142857142857,0.6677257250949387,0.15262289905197046,9.205327051281606e-73,3.381125831262785e-67
ENSG00000167604,NFKBID,B,0.2149977829781659,0.8685081597962329,0.5828571428571429,0.3688687453056768,0.22093134965729916,3.696669851096487e-105,1.3577905329775907e-99
ENSG00000128016,ZFP36,B,0.13762339040849983,3.269279236919017,0.7965714285714286,0.1727696794941712,0.04028073677713454,3.003402938430028e-20,1.1031529026882878e-14
ENSG00000105369,CD79A,B,0.7932749838513403,4.9849776928849945,0.9314285714285714,0.8516755961594145,0.7937625477378651,0,0
ENSG00000104856,RELB,B,0.15055223931638226,1.1782114504343748,0.7302857142857143,0.20615525727986617,0.15840686795314787,1.7230666796629112e-75,6.32884114506867e-70
ENSG00000105373,NOP53,B,0.17299262477619826,2.2191742578536915,0.88,0.19658252815477073,0.1498174549367644,1.9324367189120024e-71,7.097859392930974e-66
ENSG00000104894,CD37,B,0.3172656918842192,6.4747079128435505,0.9725714285714285,0.3262132554626226,0.4639221127297834,6.638901442225698e-224,2.438475138630941e-218
